month,sr_fol,sr_tab,sr_mil,sr_mcr,sr_buc,sr_hid,sr_oro,sr_cfw,sr_eng,sr_rll_cmb,sr_bul,sr_pnf,sr_trm,sr_scc,sr_isb,sr_sha
10,1.67,1.67,1.71,1.71,1.71,1.71,1.4,1.4,1.4,1.4,1.4,2,2,2,2,1.2
11,1.67,1.67,1.71,1.71,1.71,1.71,1.4,1.4,1.4,1.4,1.4,2,2,2,2,1.2
12,1.67,1.67,1.71,1.71,1.71,1.71,1.4,1.4,1.4,1.4,1.4,2,2,2,2,1.2
1,1.24,1.24,1.36,1.36,1.36,1.36,1,1,1,1,1,1.67,1.67,1.67,1.67,1.03
2,1.24,1.24,1.36,1.36,1.36,1.36,1,1,1,1,1,1.67,1.67,1.67,1.67,1.03
3,1.24,1.24,1.36,1.36,1.36,1.36,1,1,1,1,1,1.67,1.67,1.67,1.67,1.03
4,0.53,0.53,0.69,0.69,0.69,0.69,0.43,0.43,0.43,0.43,0.43,0.68,0.68,0.68,0.68,0.54
5,0.53,0.53,0.69,0.69,0.69,0.69,0.43,0.43,0.43,0.43,0.43,0.68,0.68,0.68,0.68,0.54
6,0.53,0.53,0.69,0.69,0.69,0.69,0.43,0.43,0.43,0.43,0.43,0.68,0.68,0.68,0.68,0.54
7,1,1,0.36,0.36,0.36,0.36,1,1,1,1,1,0.29,0.29,0.29,0.29,0.85
8,1,1,0.36,0.36,0.36,0.36,1,1,1,1,1,0.29,0.29,0.29,0.29,0.85
9,1,1,0.36,0.36,0.36,0.36,1,1,1,1,1,0.29,0.29,0.29,0.29,0.85
